,Coach,Club,Appearance
0,Carlo Ancelotti,FC Bayern München,12
1,Carlo Ancelotti,Chelsea FC,18
2,Carlo Ancelotti,AC Milan,73
3,Carlo Ancelotti,Real Madrid CF,50
4,Carlo Ancelotti,SSC Napoli,12
5,Carlo Ancelotti,Paris Saint-Germain,10
6,Carlo Ancelotti,Parma FC,6
7,Carlo Ancelotti,Juventus,10
8,Sir Alex Ferguson,Manchester United FC,190
9,Arsène Wenger,Arsenal FC,171
10,Arsène Wenger,AS Monaco FC,7
11,Josep Guardiola,Manchester City FC,74
12,Josep Guardiola,FC Barcelona,49
13,Josep Guardiola,FC Bayern München,36
14,José Mourinho,Real Madrid CF,32
15,José Mourinho,Tottenham Hotspur,4
16,José Mourinho,Manchester United FC,14
17,José Mourinho,FC Porto,17
18,José Mourinho,FC Internazionale Milano,21
19,José Mourinho,Chelsea FC,57
20,Mircea Lucescu,Beşiktaş JK,6
21,Mircea Lucescu,FC Shakhtar Donetsk,68
22,Mircea Lucescu,Galatasaray AŞ,26
23,Mircea Lucescu,FC Dynamo Kyiv,12
24,Mircea Lucescu,FC Internazionale Milano,3
25,Jürgen Klopp,Liverpool FC,65
26,Jürgen Klopp,Borussia Dortmund,35
27,Massimiliano Allegri,AC Milan,32
28,Massimiliano Allegri,Juventus,68
29,Louis van Gaal,FC Barcelona,36
30,Louis van Gaal,FC Bayern München,21
31,Louis van Gaal,AFC Ajax,32
32,Louis van Gaal,Manchester United FC,6
33,Ottmar Hitzfeld,FC Bayern München,76
34,Ottmar Hitzfeld,Borussia Dortmund,19
35,Rafael Benítez,SSC Napoli,6
36,Rafael Benítez,Valencia CF,14
37,Rafael Benítez,Real Madrid CF,6
38,Rafael Benítez,Liverpool FC,62
39,Rafael Benítez,FC Internazionale Milano,6
40,Rafael Benítez,Chelsea FC,1
41,Diego Simeone,Club Atlético de Madrid,93
42,Fabio Capello,AC Milan,26
43,Fabio Capello,AS Roma,24
44,Fabio Capello,Real Madrid CF,8
45,Fabio Capello,Juventus,20
46,Marcello Lippi,Juventus,76
47,Ronald Koeman,AFC Ajax,26
48,Ronald Koeman,AZ Alkmaar,5
49,Ronald Koeman,FC Barcelona,11
50,Ronald Koeman,Valencia CF,3
51,Ronald Koeman,SL Benfica,10
52,Ronald Koeman,PSV Eindhoven,13
53,Luciano Spalletti,AS Roma,30
54,Luciano Spalletti,FC Internazionale Milano,6
55,Luciano Spalletti,FC Zenit,21
56,Luciano Spalletti,SSC Napoli,10
57,Manuel Pellegrini,Manchester City FC,26
58,Manuel Pellegrini,Málaga CF,10
59,Manuel Pellegrini,Villarreal CF,22
60,Manuel Pellegrini,Real Madrid CF,8
61,Roberto Mancini,FC Internazionale Milano,36
62,Roberto Mancini,Galatasaray AŞ,7
63,Roberto Mancini,SS Lazio,6
64,Roberto Mancini,Manchester City FC,12
65,Vicente del Bosque,Real Madrid CF,60
66,Javier Iruretagoyena Amiano,Real Club Deportivo La Coruña,58
67,Oleg Romantsev,FC Spartak Moskva,56
68,Thomas Tuchel,Borussia Dortmund,10
69,Thomas Tuchel,Chelsea FC,18
70,Thomas Tuchel,FC Bayern München,2
71,Thomas Tuchel,Paris Saint-Germain,25
72,Fatih Terim,Galatasaray AŞ,53
73,Zinédine Zidane,Real Madrid CF,53
74,Héctor Cúper,FC Internazionale Milano,18
75,Héctor Cúper,Valencia CF,34
76,Unai Emery,Valencia CF,13
77,Unai Emery,Villarreal CF,12
78,Unai Emery,Sevilla FC,6
79,Unai Emery,Paris Saint-Germain,16
80,Unai Emery,FC Spartak Moskva,5
