,Coach,Appearance
0,Carlo Ancelotti,191
1,Sir Alex Ferguson,190
2,Arsène Wenger,178
3,Josep Guardiola,159
4,José Mourinho,145
5,Mircea Lucescu,115
6,Jürgen Klopp,100
7,Massimiliano Allegri,100
8,Louis van Gaal,95
9,Ottmar Hitzfeld,95
10,Rafael Benítez,95
11,Diego Simeone,93
12,Fabio Capello,78
13,Marcello Lippi,76
14,Ronald Koeman,68
15,Luciano Spalletti,67
16,Manuel Pellegrini,66
17,Roberto Mancini,61
18,Vicente del Bosque,60
19,Javier Iruretagoyena Amiano,58
20,Oleg Romantsev,56
21,Thomas Tuchel,55
22,Fatih Terim,53
23,Zinédine Zidane,53
24,Héctor Cúper,52
25,Unai Emery,52
