,Player,Appearances
0,Cristiano Ronaldo,183
1,Iker Casillas,177
2,Lionel Messi,163
3,Karim Benzema,152
4,Xavi Hernández,151
5,Raúl González,142
6,Thomas Müller,142
7,Ryan Giggs,141
8,Toni Kroos,139
9,Sergio Ramos,137
10,Manuel Neuer,131
11,Andrés Iniesta,130
12,Sergio Busquets,129
13,Gerard Piqué,128
14,Clarence Seedorf,125
15,Gianluigi Buffon,124
16,Zlatan Ibrahimović,124
17,Paul Scholes,124
18,Roberto Carlos,120
19,Xabi Alonso,119
20,Luka Modrić,117
21,Carles Puyol,115
22,David Alaba,114
23,Pepe,113
24,Thierry Henry,112
25,Philipp Lahm,112
26,Dani Alves,111
27,Petr Čech,111
28,Robert Lewandowski,111
29,Arjen Robben,110
30,Paolo Maldini,109
31,Gary Neville,109
32,John Terry,109
33,Ashley Cole,108
34,Patrice Evra,108
35,Andrea Pirlo,108
36,David Beckham,107
37,Víctor Valdés,106
38,Thiago Silva,105
39,Frank Lampard,105
40,Cesc Fàbregas,104
41,Oliver Kahn,103
42,Luís Figo,103
43,Fernandinho,103
44,Ángel Di María,102
45,Marcelo,102
46,Andriy Shevchenko,100
47,Alessandro Nesta,99
48,Edwin van der Sar,98
49,Guti,97
50,Javier Zanetti,97
51,Claude Makelele,96
52,Javier Mascherano,96
53,Bastian Schweinsteiger,95
54,Maxwell,94
55,Michael Ballack,93
56,Rio Ferdinand,93
57,Fernando Morientes,93
58,Didier Drogba,92
59,Ivan Rakitić,91
60,Alessandro Del Piero,88
61,Hasan Salihamidžić,88
62,Raphaël Varane,88
63,İlkay Gündoğan,87
64,Bernardo Silva,79
65,Esteban Cambiasso,79
66,Dani Carvajal,79
67,Phillip Cocu,79
68,Gennaro Gattuso,79
69,Mohamed Salah,79
70,Fernando Torres,79
71,Marco Verratti,79
72,Isco,78
73,Samuel Eto’o,78
74,Alex Sandro,78
75,Mats Hummels,77
76,Sami Khedira,77
77,Olexandr Shovkovskiy,77
78,Ole Gunnar Solskjær,77
79,Alessio Tacchinardi,77
80,Douglas Costa,76
81,Michael Essien,76
82,Pepe Reina,76
83,Pedro Rodríguez,76
84,Wesley Sneijder,76
85,Marc-André ter Stegen,76
86,Mark van Bommel,76
87,Patrick Vieira,76
88,Sylvain Wiltord,76
89,César Azpilicueta,75
90,Thibaut Courtois,75
91,Deco,75
92,Edin Džeko,75
93,Giorgio Chiellini,74
94,Edgar Davids,74
95,Pavel Nedvěd,74
96,Iván Helguera,87
97,Franck Ribéry,87
98,Dejan Stanković,87
99,Ricardo Carvalho,86
100,Kaká,86
101,Koke,86
102,Jérôme Boateng,85
103,Antoine Griezmann,85
104,Wayne Rooney,85
105,Jordi Alba,84
106,Leonardo Bonucci,84
107,Lúcio,83
108,Gonzalo Higuaín,83
109,Florent Malouda,83
110,Miralem Pjanić,83
111,Arturo Vidal,83
112,Massimo Ambrosini,82
113,Thiago Motta,82
114,Robert Pirès,82
115,Mikaël Silvestre,82
116,Raheem Sterling,82
117,Marquinhos,81
118,Casemiro,81
119,Neymar,81
120,Frank de Boer,81
121,Sergei Ignashevich,81
122,Filippo Inzaghi,81
123,Míchel Salgado,81
124,Thiago Alcántara,80
125,Jamie Carragher,80
126,Zinédine Zidane,80
127,Sergio Agüero,79
128,Jan Oblak,74
129,Nicolás Otamendi,74
130,Christian Panucci,74
131,Michael Reiziger,74
132,John Arne Riise,74
133,Rivaldo,73
134,Gaël Clichy,73
135,Steven Gerrard,73
136,Sidney Govou,73
137,James Milner,73
138,Claudio Pizarro,73
139,Luis Suárez,73
140,Ruud van Nistelrooy,73
141,Dida,72
142,Rafinha,72
143,Samuel Kuffour,72
144,Álvaro Morata,72
145,Andriy Pyatov,72
146,Anthony Réveillère,72
147,Walter Samuel,72
148,Fabinho,72
149,Raúl Albiol,71
150,Willian,71
151,William Gallas,71
152,Roy Keane,71
153,Patrick Kluivert,71
154,John O’Shea,71
155,Ederson,71
156,Fernando,71
157,Roar Strand,71
158,Axel Witsel,71
159,Michael Carrick,70
160,Edinson Cavani,70
161,David Silva,70
162,Kevin De Bruyne,70
163,Kakha Kaladze,70
164,Joshua Kimmich,70
165,Hugo Lloris,70
166,Yaroslav Rakits’kyy,70
167,Tomáš Rosický,70
168,Mehmet Scholl,70
169,Yaya Touré,70
170,Gianluca Zambrotta,70
171,Giovane Elber,69
172,Mario Götze,69
173,Saúl Ñíguez,69
174,Mesut Özil,69
175,Alexis Sánchez,69
176,Nicolas Anelka,68
177,Álvaro Arbeloa,68
178,Blaise Matuidi,68
179,Fernando Hierro,68
180,Wojciech Szczęsny,68
181,Nicky Butt,67
182,Martín Demichelis,67
183,Jens Lehmann,67
184,Jesús Navas,67
185,Gianluca Pessotto,67
186,Lilian Thuram,67
187,Kolo Touré,67
188,Gareth Bale,66
189,Alex,66
190,Emmanuel Eboué,66
191,Javi Martínez,66
192,Santiago Cañizares,65
193,Alessandro Costacurta,65
194,Hernán Crespo,65
195,Julian Draxler,65
196,Mateo Kovačić,65
197,José Bosingwa,64
198,João Félix,64
199,Diego Godín,64
200,Branislav Ivanović,64
201,Fredrik Ljungberg,64
202,Sadio Mané,64
203,Willy Sagnol,64
204,Júlio César,64
205,Wes Brown,63
206,Lucho González,63
207,Keylor Navas,63
208,Darijo Srna,63
209,Éric Abidal,62
210,Jörg Butt,62
211,Zé Roberto,62
212,Danilo,62
213,Predrag Djordjević,62
214,Emerson,62
215,Darren Fletcher,62
216,Tomáš Hübschman,62
217,Seydou Keita,62
218,Bixente Lizarazu,62
219,Jaap Stam,62
220,Daley Blind,61
221,Fabio Cannavaro,61
222,Grégory Coupet,61
223,Luisão,61
224,Daniele De Rossi,61
225,Didier Deschamps,61
226,Eden Hazard,61
227,João Moutinho,61
228,Roy Makaay,61
229,Kylian Mbappé,61
230,Antonis Nikopolidis,61
231,Roque Santa Cruz,61
232,Santiago Solari,61
233,Igor Akinfeev,60
234,Nani,60
235,Ricardo Quaresma,60
236,Dimitar Berbatov,60
237,Iván Córdoba,60
238,Ángel Correa,60
239,Jefferson Farfán,60
240,Erik Hoftun,60
241,Nwankwo Kanu,60
242,Mario Mandžukić,60
243,Adrien Rabiot,60
244,Lucas Moura,60
245,Maicon Sisenando,60
246,Juan Verón,60
