,Player,Goals
0,Cristiano Ronaldo,140
1,Lionel Messi,129
2,Robert Lewandowski,91
3,Karim Benzema,90
4,Raúl González,71
5,Ruud van Nistelrooy,56
6,Thomas Müller,53
7,Thierry Henry,50
8,Zlatan Ibrahimović,48
9,Andriy Shevchenko,48
10,Filippo Inzaghi,46
11,Didier Drogba,44
12,Mohamed Salah,44
13,Neymar,43
14,Alessandro Del Piero,42
15,Sergio Agüero,41
16,Kylian Mbappé,40
17,Edinson Cavani,35
18,Erling Haaland,35
19,Fernando Morientes,33
20,Arjen Robben,31
21,Samuel Eto’o,30
22,Antoine Griezmann,30
23,Kaká,30
24,Wayne Rooney,30
25,Edin Džeko,29
26,Patrick Kluivert,29
27,Roy Makaay,29
28,David Trezeguet,29
29,Ryan Giggs,28
30,Rivaldo,27
31,Sadio Mané,27
32,Lisandro,19
33,Luis Enrique,19
34,Ole Gunnar Solskjær,19
35,Heung-Min Son,19
36,Willian,18
37,John Carew,18
38,Andy Cole,18
39,Ronaldinho,18
40,Paulo Dybala,18
41,Lucho González,18
42,Romelu Lukaku,18
43,Juninho Pernambucano,18
44,Franck Ribéry,18
45,Javier Saviola,18
46,Pierre-Emerick Aubameyang,17
47,Francesco Totti,17
48,Hulk,17
49,Timo Werner,17
50,Michael Ballack,16
51,David Beckham,16
52,Roberto Carlos,16
53,Guti,16
54,Dries Mertens,16
55,Gerard Piqué,16
56,Pedro Rodríguez,16
57,Roberto Soldado,16
58,Vinícius Júnior,15
59,Seydou Doumbia,15
60,Iván Helguera,15
61,Simone Inzaghi,15
62,Pavel Nedvěd,15
63,Sergio Ramos,15
64,Alexis Sánchez,15
65,Rodrygo,15
66,Diego Tristán,15
67,Arturo Vidal,15
68,Theo Walcott,15
69,Sylvain Wiltord,15
70,Vincent Aboubakar,14
71,Kingsley Coman,14
72,Kevin De Bruyne,14
73,Serge Gnabry,14
74,Javier Hernández,14
75,Klaas Jan Huntelaar,14
76,Miroslav Klose,14
77,Adriano,14
78,Kostas Mitroglou,14
79,Bernardo Silva,14
80,Ronaldo,14
81,Robert Pirès,14
82,David Villa,14
83,Zinédine Zidane,14
84,Dimitar Berbatov,13
85,Peter Crouch,13
86,Sonny Anderson,13
87,Deco,13
88,Carsten Jancker,13
89,Jan Koller,13
90,Fredrik Ljungberg,13
91,Jackson Martínez,13
92,Lukas Podolski,13
93,Hakan Şükür,13
94,Carlos Tévez,13
95,Burak Yılmaz,13
96,Dani Alves,12
97,Marco Asensio,12
98,Philippe Coutinho,12
99,Radamel Falcao,12
100,Mario Götze,12
101,Roy Keane,12
102,Walter Pandiani,12
103,Marcus Rashford,12
104,Mehmet Scholl,12
105,Bastian Schweinsteiger,12
106,Paulo Sérgio,12
107,Giovanni,12
108,Wesley Sneijder,12
